Id,Category
1,8
10,34
100,25
101,61
102,19
103,20
104,32
105,20
106,22
107,9
108,45
109,40
11,39
110,39
111,8
112,18
113,53
114,46
115,40
116,59
117,39
118,20
119,40
12,39
120,21
121,20
122,59
123,13
124,5
125,61
126,13
127,19
128,21
129,25
13,28
130,39
131,4
132,14
133,18
134,61
135,25
136,10
137,28
138,1
139,61
14,1
140,28
141,13
142,8
143,57
144,57
145,31
146,22
147,61
148,8
149,38
15,31
150,8
151,20
152,36
153,13
154,19
155,17
156,39
157,38
158,39
159,32
16,38
160,57
161,61
162,17
163,32
164,46
165,28
166,6
167,10
168,39
169,9
17,32
170,39
171,17
172,20
173,9
174,28
175,22
176,28
177,20
178,54
179,61
18,8
180,34
181,14
182,14
183,18
184,6
185,25
186,39
187,13
188,38
189,18
19,52
190,8
191,57
192,38
193,30
194,22
195,59
196,4
197,4
198,59
199,19
2,18
20,34
200,20
201,38
202,34
21,8
22,20
23,13
24,9
25,30
26,13
27,45
28,18
29,32
3,25
30,17
31,34
32,14
33,4
34,36
35,32
36,8
37,61
38,32
39,54
4,39
40,34
41,39
42,4
43,29
44,9
45,39
46,39
47,35
48,25
49,57
5,39
50,5
51,20
52,30
53,39
54,39
55,39
56,38
57,38
58,29
59,46
6,36
60,45
61,13
62,56
63,17
64,0
65,39
66,13
67,31
68,55
69,1
7,9
70,45
71,39
72,30
73,59
74,40
75,9
76,20
77,28
78,8
79,32
8,0
80,9
81,40
82,13
83,40
84,13
85,24
86,45
87,39
88,8
89,1
9,53
90,28
91,13
92,39
93,40
94,4
95,24
96,31
97,56
98,4
99,57
