Id,Category
1,32
10,43
100,19
101,41
102,40
103,21
104,43
105,32
106,19
107,45
108,19
109,28
11,45
110,28
111,29
112,29
113,29
114,41
115,35
116,40
117,28
118,19
119,32
12,19
120,30
121,29
122,19
123,29
124,32
125,40
126,38
127,41
128,32
129,1
13,1
130,32
131,1
132,1
133,31
134,28
135,21
136,38
137,32
138,45
139,30
14,29
140,1
141,13
142,32
143,30
144,31
145,31
146,19
147,21
148,27
149,45
15,28
150,7
151,40
152,40
153,32
154,29
155,43
156,19
157,45
158,28
159,29
16,20
160,19
161,40
162,1
163,40
164,1
165,1
166,38
167,40
168,19
169,21
17,32
170,31
171,13
172,29
173,32
174,19
175,40
176,31
177,28
178,20
179,32
18,29
180,40
181,40
182,41
183,21
184,40
185,32
186,28
187,43
188,32
189,32
19,41
190,1
191,45
2,19
20,32
21,30
22,1
23,40
24,32
25,30
26,46
27,20
28,19
29,20
3,32
30,28
31,31
32,28
33,45
34,32
35,31
36,40
37,1
38,45
39,31
4,1
40,28
41,19
42,38
43,20
44,40
45,1
46,30
47,38
48,32
49,43
5,29
50,28
51,19
52,30
53,21
54,1
55,1
56,21
57,43
58,40
59,38
6,24
60,45
61,28
62,29
63,1
64,28
65,38
66,21
67,29
68,29
69,43
7,38
70,1
71,29
72,1
73,30
74,19
75,19
76,40
77,32
78,40
79,45
8,1
80,30
81,19
82,40
83,30
84,19
85,19
86,29
87,7
88,19
89,27
9,31
90,32
91,32
92,28
93,20
94,28
95,40
96,29
97,32
98,1
99,41
